SpotApp table;SpotApp columns;SpotApp column datatype;SpotApp column description;SpotApp mandatory column
cmn_cost_center;NAME;VARCHAR;;Yes
cmn_cost_center;SYS_ID;VARCHAR;;Yes
cmn_location;COUNTRY;VARCHAR;;Yes
cmn_location;NAME;VARCHAR;;Yes
cmn_location;STATE;VARCHAR;;Yes
cmn_location;SYS_ID;VARCHAR;;Yes
config_item;NAME;VARCHAR;;Yes
config_item;SYS_ID;VARCHAR;;Yes
contract_sla;DURATION;DATE_TIME;;Yes
contract_sla;SYS_ID;VARCHAR;;Yes
contract_sla;SYS_NAME;VARCHAR;;Yes
contract_sla;TARGET;VARCHAR;;Yes
contract_sla;TYPE;VARCHAR;;Yes
core_company;NAME;VARCHAR;;Yes
incident;ACTIVE;VARCHAR;;Yes
incident;ASSIGNED_TO;VARCHAR;;Yes
incident;ASSIGNMENT_GROUP;VARCHAR;;Yes
incident;BUSINESS_SERVICE;VARCHAR;;Yes
incident;CATEGORY;VARCHAR;;Yes
incident;CLOSE_CODE;VARCHAR;;Yes
incident;CLOSED_AT;DATE_TIME;;Yes
incident;CLOSED_BY;VARCHAR;;Yes
incident;CLOSE_NOTES;VARCHAR;;Yes
incident;CMDB_CI;VARCHAR;;Yes
incident;COMPANY;VARCHAR;;Yes
incident;ESCALATION;VARCHAR;;Yes
incident;LOCATION;VARCHAR;;Yes
incident;MAJOR_INCIDENT_STATE;VARCHAR;;Yes
incident;NUMBER;VARCHAR;;Yes
incident;OPENED_AT;DATE_TIME;;Yes
incident;OPENED_BY;VARCHAR;;Yes
incident;PRIORITY;VARCHAR;;Yes
incident;REASSIGNMENT_COUNT;VARCHAR;;Yes
incident;REOPEN_COUNT;VARCHAR;;Yes
incident;REOPENED_TIME;VARCHAR;;Yes
incident;RESOLVED_AT;DATE_TIME;;Yes
incident;RESOLVED_BY;VARCHAR;;Yes
incident;ROUTE_REASON;VARCHAR;;Yes
incident;SERVICE_OFFERING;VARCHAR;;Yes
incident;SEVERITY;VARCHAR;;Yes
incident;STATE;VARCHAR;;Yes
incident;SUBCATEGORY;VARCHAR;;Yes
incident;SYS_CREATED_ON;DATE_TIME;;Yes
incident;SYS_ID;VARCHAR;;Yes
incident;SYS_UPDATED_BY;VARCHAR;;Yes
incident;SYS_UPDATED_ON;DATE_TIME;;Yes
incident;TASK_EFFECTIVE_NUMBER;VARCHAR;;Yes
incident;URGENCY;VARCHAR;;Yes
service_offering;NAME;VARCHAR;;Yes
service_offering;SYS_ID;VARCHAR;;Yes
services;NAME;VARCHAR;;Yes
services;SYS_ID;VARCHAR;;Yes
sys_user;COST_CENTER;VARCHAR;;Yes
sys_user;NAME;VARCHAR;;Yes
sys_user;SYS_ID;VARCHAR;;Yes
sys_user;TITLE;VARCHAR;;Yes
sys_user_group;NAME;VARCHAR;;Yes
sys_user_group;SYS_ID;VARCHAR;;Yes
task_sla;ACTIVE;VARCHAR;;Yes
task_sla;END_TIME;DATE_TIME;;Yes
task_sla;HAS_BREACHED;VARCHAR;;Yes
task_sla;PLANNED_END_TIME;DATE_TIME;;Yes
task_sla;SLA;VARCHAR;;Yes
task_sla;STAGE;VARCHAR;;Yes
task_sla;START_TIME;DATE_TIME;;Yes
task_sla;__status;VARCHAR;;Yes
task_sla;SYS_CREATED_ON;DATE_TIME;;Yes
task_sla;TASK;VARCHAR;;Yes
