Worksheet Column Name,Original Table Name,Original Column Name,Original Join Table Name,Original Join Column Name,Join type,Join Required,User Table Name,User Column Name,Required Table,Required Column,Missing Table,Missing Column,Mapping Table,Mapping Column
Country,cmn_location,country,,,,,cmn_location,country,,,,,,
Company Name,core_company,name,,,,,core_company,name,,,,,,
Incident Category,incident,Category,,,,,incident,Category,Y,Y,,,,
Incident Task Number,incident,task_effective_number,,,,,incident,task_effective_number,Y,Y,,,,
Incident Severity,incident,severity,,,,,incident,severity,Y,Y,,,,
Incident Close code,incident,close_code,,,,,incident,close_code,Y,Y,,,,
assigned_Name,sys_user,name,,,,,sys_user,name,Y,Y,,,,
User Group Name,sys_user_group,name,,,,,sys_user_group,name,,,,,,
task_effective_number,task,task_effective_number,incident_task,task_effective_number,LEFT_OUTER,Y,task,task_effective_number,Y,Y,,,,
task_effective_number,task,task_effective_number,problem_task,task_effective_number,LEFT_OUTER,Y,task,task_effective_number,Y,Y,,,,
Task Classification,task,sys_class_name,,,,,task,sys_class_name,Y,Y,,,,
Task Description,task,short_description,,,,,task,short_description,Y,Y,,,,
Task Opened Date,task,Opened_at,,,,,task,Opened_at,Y,Y,,,,
Task Closed Date,task,closed_at,,,,,task,closed_at,Y,Y,,,,
Task ID,task,_id,,,,,task,_id,Y,Y,,,,
Task State,task,state,,,,,task,state,Y,Y,,,,
Task Priority,task,priority,,,,,task,priority,Y,Y,,,,
Task Assigned,task,assigned_to,sys_user,sys_id,LEFT_OUTER,Y,task,assigned_to,Y,Y,,,,
Incident_Task_effective_number,incident_task,task_effective_number,,,,,incident_task,task_effective_number,Y,Y,,,,
Incident,incident_task,incident,incident,sys_id,LEFT_OUTER,Y,incident_task,incident,Y,Y,,,,
Assignment_group,task,assignment_group,sys_user_group,sys_id,LEFT_OUTER,Y,task,assignment_group,Y,Y,,,,
Task Location,task,location,cmn_location,sys_id,INNER,Y,task,location,Y,Y,,,,
Task Company,task,company,core_company,sys_id,LEFT_OUTER,Y,task,company,Y,Y,,,,
Task Urgency,task,urgency,,,,,task,urgency,Y,Y,,,,
Task Route reason,task,route_reason,,,,,task,route_reason,Y,Y,,,,
Task Escalation,task,escalation,,,,,task,escalation,Y,Y,,,,
Task Contact type,task,contact_type,,,,,task,contact_type,Y,Y,,,,
Task Approval,task,approval,,,,,task,approval,Y,Y,,,,
Problem Subcategory,problem,Subcategory,,,,,problem,Subcategory,Y,Y,,,,
Problem Resolved by,problem,resolved_by,,,,,problem,resolved_by,Y,Y,,,,
Problem Reopened at,problem,reopened_at,,,,,problem,reopened_at,Y,Y,,,,
Problem Resolution code,problem,resolution_code,,,,,problem,resolution_code,Y,Y,,,,
Problem Confirmed at,problem,confirmed_at,,,,,problem,confirmed_at,Y,Y,,,,
Problem state,problem,problem_state,,,,,problem,problem_state,Y,Y,,,,
Problem Category,problem,category,,,,,problem,category,Y,Y,,,,
Problem Workaround applied,problem,workaround_applied,,,,,problem,workaround_applied,Y,Y,,,,
Problem Workaround communicated at,problem,workaround_communicated_at,,,,,problem,workaround_communicated_at,Y,Y,,,,
Problem Related incidents,problem,related_incidents,,,,,problem,related_incidents,Y,Y,,,,
Problem,problem_task,problem,problem,sys_id,LEFT_OUTER,Y,problem_task,problem,Y,Y,,,,
Task Number,task,number,,,,,task,number,Y,Y,,,,
Task_opened_by,task,opened_by,sys_user,sys_id,LEFT_OUTER,Y,task,opened_by,Y,Y,,,,
Problem_Task_effective_number,problem_task,task_effective_number,,,,,problem_task,task_effective_number,Y,Y,,,,
User Sys_id,sys_user,sys_id,,,,,sys_user,sys_id,Y,Y,,,,
Incident Sys_id,incident,sys_id,,,,,incident,sys_id,Y,Y,,,,
User_Group Sys_id,sys_user_group,sys_id,,,,,sys_user_group,sys_id,,,,,,
Location Sys_id,cmn_location,sys_id,,,,,cmn_location,sys_id,,,,,,
Company Sys_id,core_company,sys_id,,,,,core_company,sys_id,,,,,,
Problem Sys_id,problem,sys_id,,,,,problem,sys_id,Y,Y,,,,
